requested_prompt_tokens,max_new_tokens,actual_prompt_tokens,measured_runs,successes,failures,mean_latency_seconds,median_latency_seconds,min_latency_seconds,max_latency_seconds,latency_stddev_seconds,mean_tokens_per_second,median_tokens_per_second,max_peak_allocated_bytes,max_peak_reserved_bytes
512,64,512,3,3,0,6.320557233334209,6.289048600010574,6.283388099982403,6.3892350000096485,0.05954399249115615,10.126285424307587,10.176420007295285,8312902144,8355053568
512,128,512,3,3,0,12.507563300003918,13.004212800005917,11.014919200039003,13.503557899966836,1.3165584639824393,10.314183383852358,9.8429641200536,8312902144,8355053568
512,256,512,3,3,0,21.57711086664737,21.488195699988864,21.44536979997065,21.797767099982593,0.1922898707950038,11.865049543235989,11.91351770870798,8312902144,8380219392
512,512,512,3,3,0,42.03901860001497,42.361875400005374,41.110836300009396,42.64434410003014,0.8161427131060768,12.182252708569457,12.086339312539856,8321371136,8411676672
1024,64,1024,3,3,0,5.366771399994225,5.373764100018889,5.315080099971965,5.411469999991823,0.04857392918722707,11.925885673538074,11.909715203124573,8696844800,8814329856
1024,128,1024,3,3,0,11.627008500004498,12.060712900012732,10.7315214999835,12.08879110001726,0.7756415549297416,11.042923834903789,10.612971311162285,8696844800,8814329856
1024,256,1024,3,3,0,22.401694333355408,22.193376600043848,22.139038899971638,22.87266750005074,0.40877859437910263,11.430218450847455,11.534973006292978,8696844800,8814329856
